h,k,l,mag(G),S,I,d,2theta
-7,-4,-5,14.74091565350963,1.56323549263903e-14j,2.4437052054463913e-28,0.0289155159487888,-4
-7,-4,-4,13.98446047845596,3.0419948490728756e-14j,9.253732661785908e-28,0.03212835105420978,-4
-7,-4,-3,13.366541968864526,1.56323549263903e-14j,2.4437052054463913e-28,0.03516751939717557,-4
-7,-4,-2,12.907072568930777,1.8166639012545835e-14j,3.300267730121523e-28,0.0377158903679854,-4
-7,-4,-1,12.623365999454444,1.56323549263903e-14j,2.4437052054463913e-28,0.039430249021075635,-4
-7,-4,0,12.52736942757849,1.8166639012545835e-14j,3.300267730121523e-28,0.0400368682367845,-4
-7,-4,1,12.623365999454444,1.56323549263903e-14j,2.4437052054463913e-28,0.039430249021075635,-4
-7,-4,2,12.907072568930777,1.8166639012545835e-14j,3.300267730121523e-28,0.0377158903679854,-4
-7,-4,3,13.366541968864526,1.56323549263903e-14j,2.4437052054463913e-28,0.03516751939717557,-4
-7,-4,4,13.98446047845596,1.8166639012545835e-14j,3.300267730121523e-28,0.03212835105420978,-4
-7,-4,5,14.74091565350963,1.56323549263903e-14j,2.4437052054463913e-28,0.0289155159487888,-4
-7,-4,6,15.615787604107016,1.8166639012545835e-14j,3.300267730121523e-28,0.025766301340504876,-4
-7,-3,-7,16.072931555366868,(13.796-1.4360943154881352e-14j),190.329616,0.02432146201299993,-4
-7,-3,-6,15.06493052849904,-7.184741305871863e-15j,5.162050763230133e-29,0.027685068461606302,-4
-7,-3,-5,14.156055369904616,(13.796-1.2671420430777662e-14j),190.329616,0.0313541739203734,-4
-7,-3,-4,13.366541968864526,1.56323549263903e-14j,2.4437052054463913e-28,0.03516751939717557,-4
-7,-3,-3,12.718638037830024,(13.796-1.0981897706673975e-14j),190.329616,0.0388417378416566,-4
-7,-3,-2,12.234861324574357,1.6895227241036878e-15j,2.854487035262746e-30,0.041974136054693426,-4
-7,-3,-1,11.935186571147623,(13.796-9.292374982570286e-15j),190.329616,0.04410841415916936,-4
-7,-3,0,11.833608667982404,-7.888609052210118e-31j,6.223015277861142e-61,0.044868904058465386,-4
-7,-3,1,11.935186571147623,(13.796-7.602852258466598e-15j),190.329616,0.04410841415916936,-4
-7,-3,2,12.234861324574357,-1.6895227241036885e-15j,2.8544870352627483e-30,0.041974136054693426,-4
-7,-3,3,12.718638037830024,(13.796-5.91332953436291e-15j),190.329616,0.0388417378416566,-4
-7,-3,4,13.366541968864526,-3.379045448207377e-15j,1.1417948141050993e-29,0.03516751939717557,-4
-7,-3,5,14.156055369904616,(13.796-4.223806810259221e-15j),190.329616,0.0313541739203734,-4
-7,-3,6,15.06493052849904,-5.068568172311066e-15j,2.5690383317364737e-29,0.027685068461606302,-4
-7,-2,-7,15.692903073610587,1.6895227241036885e-15j,2.8544870352627483e-30,0.025513690543048945,-4
-7,-2,-6,14.658792921749423,-6.339979943820018e-15j,4.019534568804008e-29,0.02924040938641564,-4
-7,-2,-5,13.72304564337064,1.6895227241036885e-15j,2.8544870352627483e-30,0.03336405686398708,-4
-7,-2,-4,12.90707256893078,1.8166639012545835e-14j,3.300267730121523e-28,0.037715890367985394,-4
-7,-2,-3,12.234861324574357,1.6895227241036881e-15j,2.8544870352627473e-30,0.04197413605469342,-4
-7,-2,-2,11.73115125321441,5.913329534362909e-15j,3.496746618196866e-29,0.04565607781387705,-4
-7,-2,-1,11.418264166778204,1.6895227241036885e-15j,2.8544870352627483e-30,0.04819252658131467,-4
-7,-2,0,11.312045447273313,5.913329534362909e-15j,3.496746618196866e-29,0.049101819535679096,-4
-7,-2,1,11.418264166778204,1.6895227241036885e-15j,2.8544870352627483e-30,0.04819252658131467,-4
-7,-2,2,11.73115125321441,5.913329534362909e-15j,3.496746618196866e-29,0.04565607781387705,-4
-7,-2,3,12.234861324574357,1.6895227241036885e-15j,2.8544870352627483e-30,0.04197413605469342,-4
-7,-2,4,12.90707256893078,5.913329534362909e-15j,3.496746618196866e-29,0.037715890367985394,-4
-7,-2,5,13.72304564337064,1.6895227241036885e-15j,2.8544870352627483e-30,0.03336405686398708,-4
-7,-2,6,14.658792921749423,5.913329534362909e-15j,3.496746618196866e-29,0.02924040938641564,-4
-7,-1,-7,15.460402767530791,(13.796-1.2671420430777663e-14j),190.329616,0.026286832680717093,-4
-7,-1,-6,14.409616815837545,-7.184741305871862e-15j,5.162050763230131e-29,0.030260423667337118,-4
-7,-1,-5,13.456553369513719,(13.796-1.0981897706673975e-14j),190.329616,0.03469861913854656,-4
-7,-1,-4,12.623365999454444,1.56323549263903e-14j,2.4437052054463913e-28,0.039430249021075635,-4
-7,-1,-3,11.935186571147623,(13.796-9.292374982570286e-15j),190.329616,0.04410841415916936,-4
-7,-1,-2,11.418264166778204,1.6895227241036881e-15j,2.8544870352627473e-30,0.04819252658131467,-4
-7,-1,-1,11.096558179853261,(13.796-7.602852258466598e-15j),190.329616,0.05102738108609789,-4
-7,-1,0,10.987229817279424,0j,0.0,0.052047928707819845,-4
-7,-1,1,11.096558179853261,(13.796-5.913329534362909e-15j),190.329616,0.05102738108609789,-4
-7,-1,2,11.418264166778204,-1.6895227241036881e-15j,2.8544870352627473e-30,0.04819252658131467,-4
-7,-1,3,11.935186571147623,(13.796-4.2238068102592206e-15j),190.329616,0.04410841415916936,-4
-7,-1,4,12.623365999454444,-3.3790454482073767e-15j,1.141794814105099e-29,0.039430249021075635,-4
-7,-1,5,13.456553369513719,(13.796-2.5342840861555324e-15j),190.329616,0.03469861913854656,-4
-7,-1,6,14.409616815837545,-5.068568172311066e-15j,2.5690383317364737e-29,0.030260423667337118,-4
-7,0,-7,15.382121744191192,0j,0.0,0.02655506566725502,-4
-7,0,-6,14.325595010264454,-6.339979943820017e-15j,4.019534568804007e-29,0.03061642865165873,-4
-7,0,-5,13.366541968864526,3.944304526105059e-31j,1.5557538194652854e-61,0.035167519397175565,-4
-7,0,-4,12.52736942757849,1.8166639012545835e-14j,3.300267730121523e-28,0.0400368682367845,-4
-7,0,-3,11.833608667982404,-7.888609052210118e-31j,6.223015277861142e-61,0.044868904058465386,-4
-7,0,-2,11.312045447273313,5.913329534362909e-15j,3.496746618196866e-29,0.049101819535679096,-4
-7,0,-1,10.987229817279424,0j,0.0,0.052047928707819845,-4
-7,0,0,10.876802594354636,5.913329534362909e-15j,3.496746618196866e-29,0.05311013133451004,-4
-7,0,1,10.987229817279424,0j,0.0,0.052047928707819845,-4
-7,0,2,11.312045447273313,5.913329534362909e-15j,3.496746618196866e-29,0.049101819535679096,-4
-7,0,3,11.833608667982404,0j,0.0,0.044868904058465386,-4
-7,0,4,12.52736942757849,5.913329534362909e-15j,3.496746618196866e-29,0.0400368682367845,-4
-7,0,5,13.366541968864526,-3.944304526105059e-31j,1.5557538194652854e-61,0.035167519397175565,-4
-7,0,6,14.325595010264454,5.913329534362909e-15j,3.496746618196866e-29,0.03061642865165873,-4
-7,1,-7,15.460402767530791,(13.796-1.0981897706673973e-14j),190.329616,0.026286832680717093,-4
-7,1,-6,14.409616815837545,-7.184741305871862e-15j,5.162050763230131e-29,0.030260423667337118,-4
-7,1,-5,13.456553369513719,(13.796-9.292374982570286e-15j),190.329616,0.03469861913854656,-4
-7,1,-4,12.623365999454444,1.56323549263903e-14j,2.4437052054463913e-28,0.039430249021075635,-4
-7,1,-3,11.935186571147623,(13.796-7.602852258466598e-15j),190.329616,0.04410841415916936,-4
-7,1,-2,11.418264166778204,1.6895227241036881e-15j,2.8544870352627473e-30,0.04819252658131467,-4
-7,1,-1,11.096558179853261,(13.796-5.913329534362909e-15j),190.329616,0.05102738108609789,-4
-7,1,0,10.987229817279424,0j,0.0,0.052047928707819845,-4
-7,1,1,11.096558179853261,(13.796-4.2238068102592206e-15j),190.329616,0.05102738108609789,-4
-7,1,2,11.418264166778204,-1.689522724103688e-15j,2.8544870352627466e-30,0.04819252658131467,-4
-7,1,3,11.935186571147623,(13.796-2.5342840861555324e-15j),190.329616,0.04410841415916936,-4
-7,1,4,12.623365999454444,-3.379045448207377e-15j,1.1417948141050993e-29,0.039430249021075635,-4
-7,1,5,13.456553369513719,(13.796-8.447613620518443e-16j),190.329616,0.03469861913854656,-4
-7,1,6,14.409616815837545,-5.068568172311065e-15j,2.5690383317364726e-29,0.030260423667337118,-4
-7,2,-7,15.692903073610587,-1.6895227241036881e-15j,2.8544870352627473e-30,0.025513690543048945,-4
-7,2,-6,14.658792921749423,-6.339979943820018e-15j,4.019534568804008e-29,0.02924040938641564,-4
-7,2,-5,13.72304564337064,-1.6895227241036881e-15j,2.8544870352627473e-30,0.03336405686398708,-4
-7,2,-4,12.90707256893078,1.8166639012545835e-14j,3.300267730121523e-28,0.037715890367985394,-4
-7,2,-3,12.234861324574357,-1.689522724103689e-15j,2.8544870352627497e-30,0.04197413605469342,-4
-7,2,-2,11.73115125321441,5.913329534362909e-15j,3.496746618196866e-29,0.04565607781387705,-4
-7,2,-1,11.418264166778204,-1.6895227241036881e-15j,2.8544870352627473e-30,0.04819252658131467,-4
-7,2,0,11.312045447273313,5.913329534362909e-15j,3.496746618196866e-29,0.049101819535679096,-4
-7,2,1,11.418264166778204,-1.6895227241036881e-15j,2.8544870352627473e-30,0.04819252658131467,-4
-7,2,2,11.73115125321441,5.913329534362909e-15j,3.496746618196866e-29,0.04565607781387705,-4
-7,2,3,12.234861324574357,-1.6895227241036881e-15j,2.8544870352627473e-30,0.04197413605469342,-4
-7,2,4,12.90707256893078,5.913329534362909e-15j,3.496746618196866e-29,0.037715890367985394,-4
-7,2,5,13.72304564337064,-1.6895227241036881e-15j,2.8544870352627473e-30,0.03336405686398708,-4
-7,2,6,14.658792921749423,5.913329534362909e-15j,3.496746618196866e-29,0.02924040938641564,-4
-7,3,-7,16.072931555366868,(13.796-9.292374982570286e-15j),190.329616,0.02432146201299993,-4
-7,3,-6,15.06493052849904,-7.184741305871862e-15j,5.162050763230131e-29,0.027685068461606302,-4
-7,3,-5,14.156055369904616,(13.796-7.602852258466598e-15j),190.329616,0.0313541739203734,-4
-7,3,-4,13.366541968864526,1.5632354926390304e-14j,2.443705205446392e-28,0.03516751939717557,-4
-7,3,-3,12.718638037830024,(13.796-5.91332953436291e-15j),190.329616,0.0388417378416566,-4
-7,3,-2,12.234861324574357,1.6895227241036883e-15j,2.8544870352627476e-30,0.041974136054693426,-4
-7,3,-1,11.935186571147623,(13.796-4.2238068102592206e-15j),190.329616,0.04410841415916936,-4
-7,3,0,11.833608667982404,0j,0.0,0.044868904058465386,-4
-7,3,1,11.935186571147623,(13.796-2.5342840861555324e-15j),190.329616,0.04410841415916936,-4
-7,3,2,12.234861324574357,-1.6895227241036883e-15j,2.8544870352627476e-30,0.041974136054693426,-4
-7,3,3,12.718638037830024,(13.796-8.447613620518443e-16j),190.329616,0.0388417378416566,-4
-7,3,4,13.366541968864526,-3.3790454482073767e-15j,1.141794814105099e-29,0.03516751939717557,-4
-7,3,5,14.156055369904616,(13.796+8.447613620518441e-16j),190.329616,0.0313541739203734,-4
-7,3,6,15.06493052849904,-5.068568172311065e-15j,2.5690383317364726e-29,0.027685068461606302,-4
-7,4,-7,16.590353204545945,-3.379045448207377e-15j,1.1417948141050993e-29,0.02282803890693853,-4
-7,4,-6,15.615787604107016,-6.339979943820017e-15j,4.019534568804007e-29,0.025766301340504876,-4
-7,4,-5,14.74091565350963,-3.379045448207377e-15j,1.1417948141050993e-29,0.0289155159487888,-4
-7,4,-4,13.98446047845596,1.8166639012545835e-14j,3.300267730121523e-28,0.03212835105420978,-4
-7,4,-3,13.366541968864526,-3.379045448207377e-15j,1.1417948141050993e-29,0.03516751939717557,-4
-7,4,-2,12.907072568930777,5.913329534362909e-15j,3.496746618196866e-29,0.0377158903679854,-4
-7,4,-1,12.623365999454444,-3.379045448207377e-15j,1.1417948141050993e-29,0.039430249021075635,-4
-7,4,0,12.52736942757849,5.913329534362909e-15j,3.496746618196866e-29,0.0400368682367845,-4
-7,4,1,12.623365999454444,-3.379045448207377e-15j,1.1417948141050993e-29,0.039430249021075635,-4
-7,4,2,12.907072568930777,5.913329534362909e-15j,3.496746618196866e-29,0.0377158903679854,-4
-7,4,3,13.366541968864526,-3.379045448207377e-15j,1.1417948141050993e-29,0.03516751939717557,-4
-7,4,4,13.98446047845596,5.913329534362909e-15j,3.496746618196866e-29,0.03212835105420978,-4
-7,4,5,14.74091565350963,-3.379045448207377e-15j,1.1417948141050993e-29,0.0289155159487888,-4
-7,4,6,15.615787604107016,5.913329534362909e-15j,3.496746618196866e-29,0.025766301340504876,-4
-7,5,-7,17.232796606528392,(13.796-7.602852258466598e-15j),190.329616,0.021157694596674735,-4
-7,5,-6,16.296695429656005,-7.184741305871862e-15j,5.162050763230131e-29,0.02365814941264538,-4
-7,5,-5,15.460402767530793,(13.796-5.913329534362909e-15j),190.329616,0.02628683268071709,-4
-7,5,-4,14.74091565350963,1.56323549263903e-14j,2.4437052054463913e-28,0.0289155159487888,-4
-7,5,-3,14.156055369904616,(13.796-4.223806810259221e-15j),190.329616,0.0313541739203734,-4
-7,5,-2,13.72304564337064,1.6895227241036885e-15j,2.8544870352627483e-30,0.03336405686398708,-4
-7,5,-1,13.45655336951372,(13.796-2.5342840861555324e-15j),190.329616,0.034698619138546556,-4
-7,5,0,13.366541968864526,-2.9582283945787943e-31j,8.75111523449223e-62,0.035167519397175565,-4
-7,5,1,13.45655336951372,(13.796-8.447613620518442e-16j),190.329616,0.034698619138546556,-4
-7,5,2,13.72304564337064,-1.6895227241036881e-15j,2.8544870352627473e-30,0.03336405686398708,-4
-7,5,3,14.156055369904616,(13.796+8.447613620518442e-16j),190.329616,0.0313541739203734,-4
-7,5,4,14.74091565350963,-3.379045448207377e-15j,1.1417948141050993e-29,0.0289155159487888,-4
-7,5,5,15.460402767530793,(13.796+2.534284086155533e-15j),190.329616,0.02628683268071709,-4
-7,5,6,16.296695429656005,-1.7321877650493988e-14j,3.000474453386831e-28,0.02365814941264538,-4
-7,6,-7,17.98687040801355,-5.068568172311066e-15j,2.5690383317364737e-29,0.0194208689208283,-4
-7,6,-6,17.092118362557287,-6.339979943820018e-15j,4.019534568804008e-29,0.021507408556950346,-4
-7,6,-5,16.296695429656,-5.068568172311065e-15j,2.5690383317364726e-29,0.023658149412645386,-4
-7,6,-4,15.615787604107016,1.8166639012545835e-14j,3.300267730121523e-28,0.025766301340504876,-4
-7,6,-3,15.06493052849904,-5.068568172311066e-15j,2.5690383317364737e-29,0.027685068461606302,-4
-7,6,-2,14.658792921749422,5.913329534362909e-15j,3.496746618196866e-29,0.029240409386415644,-4
-7,6,-1,14.409616815837545,-5.068568172311066e-15j,2.5690383317364737e-29,0.030260423667337118,-4
-7,6,0,14.325595010264454,5.913329534362909e-15j,3.496746618196866e-29,0.03061642865165873,-4
-7,6,1,14.409616815837545,-5.068568172311066e-15j,2.5690383317364737e-29,0.030260423667337118,-4
-7,6,2,14.658792921749422,5.913329534362909e-15j,3.496746618196866e-29,0.029240409386415644,-4
-7,6,3,15.06493052849904,-5.068568172311066e-15j,2.5690383317364737e-29,0.027685068461606302,-4
-7,6,4,15.615787604107016,5.913329534362909e-15j,3.496746618196866e-29,0.025766301340504876,-4
-7,6,5,16.296695429656,-1.7321877650493988e-14j,3.000474453386831e-28,0.023658149412645386,-4
-7,6,6,17.092118362557287,5.913329534362908e-15j,3.4967466181968653e-29,0.021507408556950346,-4
-6,-7,-7,17.98687040801355,-1.9438050784054787e-14j,3.7783781828349293e-28,0.0194208689208283,-4
-6,-7,-6,17.092118362557287,-1.8593289422002944e-14j,3.4571041153036657e-28,0.021507408556950346,-4
-6,-7,-5,16.296695429656,5.068568172311064e-15j,2.569038331736472e-29,0.023658149412645386,-4
-6,-7,-4,15.615787604107016,5.9133295343629075e-15j,3.496746618196864e-29,0.025766301340504876,-4
-6,-7,-3,15.06493052849904,-7.184741305871863e-15j,5.162050763230133e-29,0.027685068461606302,-4
-6,-7,-2,14.658792921749422,-6.339979943820018e-15j,4.019534568804008e-29,0.029240409386415644,-4
-6,-7,-1,14.409616815837545,-7.184741305871862e-15j,5.162050763230131e-29,0.030260423667337118,-4
-6,-7,0,14.325595010264454,-6.339979943820018e-15j,4.019534568804008e-29,0.03061642865165873,-4
-6,-7,1,14.409616815837545,-7.184741305871862e-15j,5.162050763230131e-29,0.030260423667337118,-4
-6,-7,2,14.658792921749422,-6.339979943820017e-15j,4.019534568804007e-29,0.029240409386415644,-4
-6,-7,3,15.06493052849904,-7.184741305871862e-15j,5.162050763230131e-29,0.027685068461606302,-4
-6,-7,4,15.615787604107016,-6.339979943820018e-15j,4.019534568804008e-29,0.025766301340504876,-4
-6,-7,5,16.296695429656,-7.184741305871862e-15j,5.162050763230131e-29,0.023658149412645386,-4
-6,-7,6,17.092118362557287,-6.339979943820018e-15j,4.019534568804008e-29,0.021507408556950346,-4
-6,-6,-7,17.092118362557283,-1.8593289422002944e-14j,3.4571041153036657e-28,0.021507408556950353,-4
-6,-6,-6,16.147864043416465,(13.796-1.5205704516933195e-14j),190.329616,0.024096263290657335,-4
-6,-6,-5,15.303440298572253,2.873042576662507e-14j,8.254373647315536e-28,0.02682882923083497,-4
-6,-6,-4,14.576207515728385,(13.796-1.3516181792829508e-14j),190.329616,0.02957268676580673,-4
-6,-6,-3,13.98446047845596,2.534284086155533e-15j,6.422595829341184e-30,0.03212835105420978,-4
-6,-6,-2,13.545966667895108,(13.796-1.1826659068725818e-14j),190.329616,0.03424205836040779,-4
-6,-6,-1,13.275920300463635,8.447613620518443e-16j,7.136217588156871e-31,0.03564926623823277,-4
-6,-6,0,13.184675780735308,(13.796-1.013713634462213e-14j),190.329616,0.03614439493598601,-4
-6,-6,1,13.275920300463635,-8.447613620518435e-16j,7.136217588156858e-31,0.03564926623823277,-4
-6,-6,2,13.545966667895108,(13.796-8.447613620518441e-15j),190.329616,0.03424205836040779,-4
-6,-6,3,13.98446047845596,-2.5342840861555324e-15j,6.422595829341181e-30,0.03212835105420978,-4
-6,-6,4,14.576207515728385,(13.796-6.758090896414753e-15j),190.329616,0.02957268676580673,-4
-6,-6,5,15.303440298572253,-4.2238068102592206e-15j,1.7840543970392172e-29,0.02682882923083497,-4
-6,-6,6,16.147864043416465,(13.796-5.068568172311065e-15j),190.329616,0.024096263290657335,-4
-6,-5,-7,16.296695429656,5.068568172311064e-15j,2.569038331736472e-29,0.023658149412645386,-4
-6,-5,-6,15.303440298572253,2.8730425766625075e-14j,8.254373647315541e-28,0.02682882923083497,-4
-6,-5,-5,14.409616815837545,2.9575187128676915e-14j,8.746916936962567e-28,0.030260423667337118,-4
-6,-5,-4,13.63479363059374,1.6477116288442145e-14j,2.7149536118284545e-28,0.03379735630377912,-4
-6,-5,-3,13.000265638855216,1.732187765049399e-14j,3.0004744533868325e-28,0.03717709193415703,-4
-6,-5,-2,12.52736942757849,1.6477116288442145e-14j,2.7149536118284545e-28,0.0400368682367845,-4
-6,-5,-1,12.234861324574357,1.732187765049399e-14j,3.0004744533868325e-28,0.04197413605469342,-4
-6,-5,0,12.135791991065565,1.6477116288442148e-14j,2.7149536118284554e-28,0.04266223664575397,-4
-6,-5,1,12.234861324574357,1.732187765049399e-14j,3.0004744533868325e-28,0.04197413605469342,-4
-6,-5,2,12.52736942757849,1.6477116288442145e-14j,2.7149536118284545e-28,0.0400368682367845,-4
-6,-5,3,13.000265638855216,1.732187765049399e-14j,3.0004744533868325e-28,0.03717709193415703,-4
-6,-5,4,13.63479363059374,1.6477116288442145e-14j,2.7149536118284545e-28,0.03379735630377912,-4
-6,-5,5,14.409616815837545,1.732187765049399e-14j,3.0004744533868325e-28,0.030260423667337118,-4
-6,-5,6,15.303440298572253,1.6477116288442145e-14j,2.7149536118284545e-28,0.02682882923083497,-4
-6,-4,-7,15.615787604107016,5.913329534362907e-15j,3.496746618196863e-29,0.025766301340504876,-4
-6,-4,-6,14.576207515728386,(13.796-1.3516181792829508e-14j),190.329616,0.029572686765806728,-4
-6,-4,-5,13.63479363059374,1.6477116288442148e-14j,2.7149536118284554e-28,0.03379735630377912,-4
-6,-4,-4,12.813201704433247,(13.796-1.1826659068725818e-14j),190.329616,0.03827053581457342,-4
-6,-4,-3,12.135791991065565,2.534284086155532e-15j,6.42259582934118e-30,0.04266223664575397,-4
-6,-4,-2,11.627791077613999,(13.796-1.0137136344622131e-14j),190.329616,0.04647136491769629,-4
-6,-4,-1,11.312045447273311,8.447613620518443e-16j,7.136217588156871e-31,0.0491018195356791,-4
-6,-4,0,11.204819847727252,(13.796-8.447613620518441e-15j),190.329616,0.05004608529598062,-4
-6,-4,1,11.312045447273311,-8.447613620518443e-16j,7.136217588156871e-31,0.0491018195356791,-4
-6,-4,2,11.627791077613999,(13.796-6.758090896414754e-15j),190.329616,0.04647136491769629,-4
-6,-4,3,12.135791991065565,-2.534284086155533e-15j,6.422595829341184e-30,0.04266223664575397,-4
-6,-4,4,12.813201704433247,(13.796-5.068568172311066e-15j),190.329616,0.03827053581457342,-4
-6,-4,5,13.63479363059374,-4.223806810259221e-15j,1.7840543970392178e-29,0.03379735630377912,-4
-6,-4,6,14.576207515728386,(13.796-3.379045448207377e-15j),190.329616,0.029572686765806728,-4
-6,-3,-7,15.06493052849904,-7.184741305871862e-15j,5.162050763230131e-29,0.027685068461606302,-4
-6,-3,-6,13.984460478455961,2.534284086155533e-15j,6.422595829341184e-30,0.03212835105420978,-4
-6,-3,-5,13.000265638855216,1.7321877650493988e-14j,3.000474453386831e-28,0.03717709193415703,-4
-6,-3,-4,12.135791991065565,2.534284086155532e-15j,6.42259582934118e-30,0.04266223664575397,-4
